,user_id,account_creation_time,seniority
0,8be2f87809280cfd85e48,2022-06-05 10:06:17.505,Freshman
1,9ffa8ba809bdfad8500f4,2022-06-12 12:41:27.704,Sophomore
2,8228b2280a4e57bb40788,2022-06-19 08:56:37.229,Sophomore
3,88f251f80921447bea2a4,2022-06-05 02:23:13.909,Sophomore
4,9ceef2380a3289d1ff78a,2022-06-18 01:09:59.453,Sophomore
5,8aeb5c980ad08b911f135,2022-06-25 12:56:35.441,Sophomore
6,8b5295c809ea182c82148,2022-06-14 14:53:00.398,Sophomore
7,8fad4ae80bb8ee478b0e7,2022-07-06 13:29:18.591,Junior
8,8b75b80809f3d87c82148,2022-06-15 01:58:09.276,Freshman
9,87e8ba980b488e5c7002f,2022-07-01 05:29:19.244,Sophomore
10,8cc001c80959e8dd85e48,2022-06-07 18:49:27.193,Senior
11,8e13d0b80bac518dd93f9,2022-07-05 23:08:18.732,Freshman
12,8a875958097f893bea2a4,2022-06-09 13:30:05.040,Freshman
13,8e3847580b7930878b0e7,2022-07-03 12:57:55.023,Sophomore
14,9cd484c80a2cc451ff78a,2022-06-17 18:44:31.875,Freshman
15,858170880a7dd8e0ddefb,2022-06-21 14:59:36.957,Junior
16,89ae2de8094b919bea2a4,2022-06-07 02:30:59.613,Sophomore
17,9ce840080a310781ff78a,2022-06-17 23:35:30.348,Senior
18,874378480addf780ddefb,2022-06-26 04:21:20.709,Sophomore
19,8ebad4280b28925a8a7fb,2022-06-29 17:14:23.340,Freshman
20,8f1e83980b9e08e78b0e7,2022-07-05 06:52:40.815,Senior
21,8831b4c80aaa09b0ddefb,2022-06-23 17:16:21.987,Junior
22,8b8958d809f8bc4c82148,2022-06-15 07:32:30.858,Sophomore
23,85a21f580a8b1380ddefb,2022-06-22 06:02:40.959,Freshman
24,8dac834809989aed85e48,2022-06-10 18:10:00.754,Junior
25,823a58880a50cb5b40788,2022-06-19 11:43:59.232,Senior
26,9eb833980a80e4f1ff78a,2022-06-21 18:27:37.944,Sophomore
27,909b9e0809e133f8500f4,2022-06-14 04:46:01.142,Junior
28,8eeffea80b9553278b0e7,2022-07-04 20:58:36.842,Sophomore
29,87bc0f580b3f274c7002f,2022-06-30 18:55:58.817,Sophomore
30,9fbb8fb80ab94f01ff78a,2022-06-24 10:38:50.359,Freshman
31,9e4defb80a8fb881ff78a,2022-06-20 22:54:40.451,Senior
32,8b3aa8c80adedf311f135,2022-06-26 05:23:09.324,Sophomore
33,9f292ed80a9bae81ff78a,2022-06-23 00:56:16.370,Freshman
34,8874a7480afbd89c7002f,2022-06-27 14:20:35.181,Sophomore
35,8e892ca80b1ef08a8a7fb,2022-06-29 06:16:48.842,Senior
36,8b248ea809e0c75c82148,2022-06-14 04:17:03.841,Freshman
37,889d8b180b0438ac7002f,2022-06-27 23:52:20.977,Freshman
38,8af2df080ad15ed11f135,2022-06-25 14:01:27.425,Junior
39,8e3b7f380b0f4a1a8a7fb,2022-06-28 12:28:27.405,Freshman
40,8c4f57c8094088cd85e48,2022-06-06 13:49:10.562,Senior
41,8e831b780b85e4c78b0e7,2022-07-04 03:25:10.724,Freshman
42,9192f7180a1c1938500f4,2022-06-16 23:46:38.000,Senior
43,85b512b80a8edd10ddefb,2022-06-22 10:21:15.871,Senior
44,8b42ba880adfb1a11f135,2022-06-26 06:19:16.212,Senior
45,8e3cda480b0f735a8a7fb,2022-06-28 12:39:27.041,Junior
46,82542aa80a53e3cb40788,2022-06-19 15:15:18.332,Junior
47,88e4e7c80b74c7cc7002f,2022-07-03 07:56:54.670,Junior
48,8cf4ee880b7c829dd93f9,2022-07-03 16:44:35.072,Junior
49,8fbf38780bbae0b78b0e7,2022-07-06 15:42:13.900,Freshman
50,8e22d2e80b7714478b0e7,2022-07-03 10:33:50.604,Freshman
51,8dc359880afa8d5a8a7fb,2022-06-27 12:44:15.787,Senior
52,829128980a81558b40788,2022-06-20 06:33:06.496,Junior
53,877fb8180ae5cfd0ddefb,2022-06-26 13:16:55.631,Senior
54,818d13880a33983b40788,2022-06-18 02:30:37.529,Freshman
55,815f94180b49c8f8a4284,2022-07-01 07:01:45.450,Senior
56,8e504aa80b12503a8a7fb,2022-06-28 15:54:53.132,Senior
57,8e728bc80b1a0d5a8a7fb,2022-06-29 00:43:11.239,Junior
58,905133f809d02d88500f4,2022-06-13 09:23:46.658,Junior
59,9d4d44180a435f31ff78a,2022-06-18 20:27:41.270,Freshman
60,8ea204880b8a49f78b0e7,2022-07-04 08:25:13.295,Sophomore
61,9d1957480a3abe91ff78a,2022-06-18 10:38:43.058,Sophomore
62,8ed8ce980b30a5ba8a7fb,2022-06-30 02:25:41.265,Senior
63,89807718093ab87bea2a4,2022-06-06 07:20:17.748,Senior
64,829b19b80a82ba5b40788,2022-06-20 08:08:15.644,Freshman
65,8e4fad880b7c8ee78b0e7,2022-07-03 16:47:52.497,Sophomore
66,8b802e780ae3efa11f135,2022-06-26 11:08:52.619,Junior
67,8e27b9780b0c139a8a7fb,2022-06-28 08:49:07.262,Junior
68,88a198180abfbbd0ddefb,2022-06-24 17:57:27.778,Sophomore
69,8c0f2fa80a17388c82148,2022-06-16 18:13:36.045,Junior
70,85a435980a8b8f00ddefb,2022-06-22 06:27:06.800,Sophomore
71,9f58ce080aa5c881ff78a,2022-06-23 12:25:52.164,Sophomore
72,8df047780ba4d81dd93f9,2022-07-05 14:37:32.050,Junior
73,8fa595a80bb827178b0e7,2022-07-06 12:36:11.083,Sophomore
74,8ee1ed080b92b8e78b0e7,2022-07-04 18:00:24.146,Sophomore
75,8977d888093f031bea2a4,2022-06-06 12:13:47.755,Freshman
76,9d3c0db80a3feef1ff78a,2022-06-18 16:32:57.851,Freshman
77,8cf5d028098aa8bd85e48,2022-06-08 13:53:25.504,Sophomore
78,8e5b78780b1471aa8a7fb,2022-06-28 18:20:20.188,Sophomore
79,8b37bef809e53d4c82148,2022-06-14 09:21:34.787,Sophomore
80,8dc0ad980b9e5dbdd93f9,2022-07-05 07:15:49.526,Junior
81,9efe2fa80a90e4d1ff78a,2022-06-22 12:39:51.944,Junior
82,8f8857b80bab81e78b0e7,2022-07-05 22:04:24.563,Senior
83,8ac834d80994d81bea2a4,2022-06-10 13:53:15.210,Sophomore
84,90897ec809d4ef08500f4,2022-06-13 14:48:26.789,Junior
85,88c1b5e80b8e7ffc7002f,2022-07-03 00:48:09.822,Junior
86,8bbd8fe8091f8acd85e48,2022-06-05 00:16:54.065,Sophomore
87,8ba181e809fdb87c82148,2022-06-15 13:12:17.787,Freshman
88,889b98080abeb1b0ddefb,2022-06-24 16:46:29.056,Sophomore
89,8c0a8ef80a182e2c82148,2022-06-16 17:02:36.474,Sophomore
90,8bb073f80a009ccc82148,2022-06-15 16:30:14.138,Sophomore
91,8e38fcf80b0f09ea8a7fb,2022-06-28 12:11:20.777,Freshman
92,8e259e080b7774b78b0e7,2022-07-03 10:59:33.118,Senior
93,824ef4a80a533fab40788,2022-06-19 14:31:32.603,Sophomore
94,8bd817880a0ab78c82148,2022-06-16 04:00:00.825,Junior
95,891b98180929fa5bea2a4,2022-06-05 12:17:51.201,Sophomore
96,90f3cf9809f5bdd8500f4,2022-06-15 04:08:07.753,Sophomore
97,8c30ea380a20291c82148,2022-06-17 04:23:55.907,Senior
98,8e7d98b80bbdf92dd93f9,2022-07-06 19:13:32.699,Sophomore
99,8d3b83880b88c91dd93f9,2022-07-04 06:42:35.778,Junior
100,8ec8ce880b8f04878b0e7,2022-07-04 13:48:00.599,Sophomore
101,904729f809ce87e8500f4,2022-06-13 07:22:48.304,Senior
102,8bd25b780a09b3bc82148,2022-06-16 02:50:45.740,Junior
103,8ee487080b9308b78b0e7,2022-07-04 18:21:41.629,Sophomore
104,9eae39880a7f7551ff78a,2022-06-21 16:49:35.881,Senior
105,8d403ae80b898e5dd93f9,2022-07-04 07:26:39.388,Sophomore
106,9012a7c80aca3b81ff78a,2022-06-25 05:54:08.762,Freshman
107,8c3571f80a20f8ac82148,2022-06-17 05:18:44.169,Freshman
108,8a410a28097418abea2a4,2022-06-09 00:37:08.734,Senior
109,915cbb980a0eec08500f4,2022-06-16 08:47:06.127,Senior
110,9db103280a533ac1ff78a,2022-06-19 14:30:14.625,Sophomore
111,818922980b4b7558a4284,2022-07-01 08:55:59.928,Sophomore
112,91175ed809fd99f8500f4,2022-06-15 13:04:41.492,Freshman
113,88b858080b0944ec7002f,2022-06-28 05:37:28.471,Senior
114,84a4498809b4dc2a3c50e,2022-06-12 02:18:52.977,Sophomore
115,8b115a180ad5eea11f135,2022-06-25 19:12:52.869,Senior
116,8e1a27b80b0a0bda8a7fb,2022-06-28 06:30:31.113,Senior
117,8cd3d9280b781f2dd93f9,2022-07-03 11:45:00.959,Freshman
118,9fb982180ab8e5c1ff78a,2022-06-24 10:10:46.705,Sophomore
119,8bd839880925c28d85e48,2022-06-05 07:29:54.301,Sophomore
120,9fc549880abaf1e1ff78a,2022-06-24 12:30:32.006,Sophomore
121,88b85a480ac50cf0ddefb,2022-06-25 00:00:25.438,Sophomore
122,8e500dc80bb82eedd93f9,2022-07-06 12:38:16.354,Sophomore
123,8e98d1880b21925a8a7fb,2022-06-29 09:16:31.417,Junior
124,8cd93e580981aa8d85e48,2022-06-08 03:39:28.804,Sophomore
125,9f8082d80aacde51ff78a,2022-06-23 20:29:35.994,Junior
126,8ed4d7380b90dbe78b0e7,2022-07-04 15:53:44.618,Sophomore
127,883438880b54b21c7002f,2022-07-01 19:26:35.882,Freshman
128,8e5e08d80b14fd5a8a7fb,2022-06-28 18:57:35.189,Sophomore
129,8d892b480b8f0c2dd93f9,2022-07-04 13:50:04.909,Sophomore
130,878e95780b389c8c7002f,2022-06-30 09:12:50.652,Sophomore
131,81b40ed80b5938e8a4284,2022-07-02 00:35:36.729,Junior
132,88ce5d280b710dfc7002f,2022-07-03 03:42:33.005,Sophomore
133,8d4318880b89dd3dd93f9,2022-07-04 07:56:13.566,Senior
134,8b0a859809da172c82148,2022-06-13 20:40:28.764,Sophomore
135,872804780ad72a50ddefb,2022-06-25 20:37:03.854,Senior
136,8bf805a80a1275cc82148,2022-06-16 12:48:38.691,Senior
137,88a80f780b08c1ac7002f,2022-06-28 02:45:56.487,Sophomore
